"Name";"Leads";"Revenue"
"Grounded Footwear - Rumble - US - CatchAll (buybarefootshoes.co)";"0";"0.00 $"
"FireBlaze - US - Mobile - 240911_02 - Mid-Roll (buyfireblaze.com)";"0";"0.00 $"
"FireBlaze - US - Desktop - 240911_01 - Mid-Roll (buyfireblaze.com)";"0";"0.00 $"
"SolarSplash - US - Mobile - 240826_02 (solarsplash.co)";"0";"0.00 $"
"SolarSplash - US - Desktop - 240826_01 (solarsplash.co)";"0";"0.00 $"
"SolarSplash - Rumble - US - CatchAll (solarsplash.co)";"0";"0.00 $"
"FireBlaze - US - Mobile - 240823_04 (buyfireblaze.com)";"0";"0.00 $"
"FireBlaze - US - Desktop - 240823_03 (buyfireblaze.com)";"0";"0.00 $"
"FireBlaze - Rumble - US - CatchAll (buyfireblaze.com)";"0";"0.00 $"
"Auto Air Pump -  US - Mobile - 240710_16";"0";"0.00 $"
"Auto Air Pump -  US - Desktop - 240710_15";"0";"0.00 $"
"MoonBeamUltra - US - Mobile - 240710_14";"0";"0.00 $"
"FuelSaver - Rumble - US/CA - CatchAll";"0";"0.00 $"
"AutoAir - Rumble - US - CatchAll";"0";"0.00 $"
"MoonBeamUltra - Rumble - US - CatchAll";"0";"0.00 $"
"BuzzBash Portable - US - Mobile - 240709_02 (buy-buzzbashportable.com)";"0";"0.00 $"
"BuzzBash Portable - US - Desktop - 240709_01 (buy-buzzbashportable.com)";"0";"0.00 $"
"BuzzBash Portable - Rumble - US - CatchAll (buy-buzzbashportable.com)";"0";"0.00 $"
"BuzzBash Portable - Rumble - US - CatchAll (buy-buzzbashportable.com)";"0";"0.00 $"
"PlungeBlaster - Rumble - US - CatchAll";"0";"0.00 $"
"ChillWell - US - Mobile - 240702_04 (buyaircooler.com)";"0";"0.00 $"
"ChillWell - US - Desktop - 240702_03 (buyaircooler.com)";"0";"0.00 $"
"BreezyComforts - US - Mobile - 240702_02 (buybreezycomforts.com)";"0";"0.00 $"
"BreezyComforts - US - Desktop - 240702_01 (buybreezycomforts.com)";"0";"0.00 $"
"ChillWell - US - Mobile - 240626_09 (buyaircooler.com)";"0";"0.00 $"
"ChillWell - US - Desktop - 240626_08 (buyaircooler.com)";"0";"0.00 $"
"ChillWell - Rumble - US - CatchAll (buyaircooler.com)";"0";"0.00 $"
"PestPulse Pro - US - Display 300x250 - 240624_02";"0";"0.00 $"
"TrumpLighter - US - Mobile - 240621_05(maga2024official.com)";"0";"0.00 $"
"TrumpLighter - US - Desktop - 240621_04(maga2024official.com)";"0";"0.00 $"
"TrumpLighter - Rumble - US - CatchAll (maga2024official.com)";"0";"0.00 $"
