"","ID","Name","Status","CPM","Impressions","Clicks","CTR","Used / Daily Limit","Lifetime Spend / Limit","Ad Type","Conv. Count","Conv. Earnings","Actions"
"","15577","Stealth Bird - US - All Mobile - 240127_24","Paused","8.500","100.4K","480","0.4779","0.000","$596.63 / Unlimited","Pre-roll","3","$255.00",""
"","15576","Nano Sight - US - All Mobile -  240126_23","Paused","8.500","129.7K","880","0.6783","0.000","$765.65 / Unlimited","Pre-roll","7","$420.00",""
"","15575","Adjustable Glasses - Android - US - 240127_22","Paused","5.000","4.1M","39.7K","0.9677","0.000","$18,431.62 / Unlimited","Pre-roll","585","$23,400.00",""
"","15574","Fuel Save Pro - CA - All Mobile - 240127_21","Paused","8.500","66.2K","298","0.4502","0.000","$190.75 / Unlimited","Pre-roll","1","$62.00",""
"","15573","Fuel Save Pro - US - Android - 240127_20","Paused","4.000","480.2K","1.8K","0.3734","0.000","$2,232.76 / Unlimited","Pre-roll","26","$1,612.00",""
"","15572","OrthoSparkle - All Mobile - DE - 240127_19","Paused","8.500","47.3K","317","0.6696","0.000","$184.75 / Unlimited","Pre-roll","0","$0.00",""
"","15571","OrthoSparkle - All Mobile - CA - 240127_18","Paused","8.500","62.4K","327","0.5239","0.000","$371.50 / Unlimited","Pre-roll","5","$400.00",""
"","15570","OrthoSparkle - All Mobile - US - 240127_17","Paused","8.500","66.1K","340","0.5146","0.000","$406.54 / Unlimited","Pre-roll","4","$320.00",""
"","15569","OrthoSparkle - Desktop - DE - 240127_16","Paused","10.500","223.8K","9.8K","4.3651","0.000","$1,282.12 / Unlimited","Pre-roll","24","$1,920.00",""
"","15568","OrthoSparkle - Desktop - CA - 240127_15","Paused","10.500","32.5K","612","1.8845","0.000","$233.28 / Unlimited","Pre-roll","2","$160.00",""
"","15567","Adjustable Glasses - Desktop - CA - 240127_14","Paused","10.500","33K","792","2.4013","0.000","$235.87 / Unlimited","Pre-roll","5","$200.00",""
"","15566","RecovStick - Desktop - CA - 240127_13","Paused","10.500","28K","586","2.0962","0.000","$191.62 / Unlimited","Pre-roll","0","$0.00",""
"","15565","BlissHeat - Desktop - UK - 240127_12","Paused","10.500","31.2K","787","2.5195","0.000","$160.81 / Unlimited","Pre-roll","4","$248.00",""
"","15564","BlissHeat - Desktop - CA - 240127_11","Paused","10.500","42.5K","676","1.5914","0.000","$293.64 / Unlimited","Pre-roll","4","$260.00",""
"","15563","Headlamp - Desktop - US - 240127_10","Paused","10.500","345.9K","8.8K","2.538","0.000","$3,445.15 / Unlimited","Pre-roll","69","$3,933.00",""
"","15562","Konpresio - Desktop - US - 240127_09","Paused","9.500","853.2K","22.1K","2.5883","0.000","$8,714.55 / Unlimited","Pre-roll","336","$8,736.00",""
"","15561","RecovStick - Desktop - US - 240127_08","Paused","9.500","799.8K","21.5K","2.694","0.000","$8,006.61 / Unlimited","Pre-roll","177","$9,204.00",""
"","15560","Plunge Blaster - Desktop - US - 240127_07","Paused","9.500","1.4M","35.5K","2.5904","0.000","$11,670.84 / Unlimited","Pre-roll","328","$14,760.00",""
"","15559","FlashBeam Zap - Desktop - AU - 240127_06","Paused","10.500","88.9K","2K","2.2747","0.000","$722.98 / Unlimited","Pre-roll","11","$594.44",""
"","15558","BlissHeat - Desktop - US - 240127_05","Paused","10.500","33.9K","514","1.5156","0.000","$262.85 / Unlimited","Pre-roll","2","$130.00",""
"","15557","OrthoSparkle - Desktop - US - 240127_04","Paused","10.500","1.3M","34.4K","2.7113","0.000","$13,152.91 / Unlimited","Pre-roll","232","$18,560.00",""
"","15556","Adjustable Glasses - Desktop - US - 240127_03","Paused","10.500","1.6M","43.6K","2.7467","0.000","$16,343.80 / Unlimited","Pre-roll","626","$25,040.00",""
"","15555","SafeHammer - Desktop - US - 240127_02","Paused","10.500","181.9K","3.7K","2.0074","0.000","$1,804.79 / Unlimited","Pre-roll","28","$1,364.44",""
"","15524","Stealth Bird - NZ - Desktop - 240126_09","Paused","10.500","3.9K","117","3.0319","0.000","$17.83 / Unlimited","Pre-roll","0","$0.00",""
"","15523","Stealth Bird - AU - Desktop - 240126_08","Paused","10.500","93K","2.4K","2.5989","0.000","$724.03 / Unlimited","Pre-roll","10","$850.00",""
"","15522","Stealth Bird - US - Desktop - 240126_07","Paused","10.500","3M","83.3K","2.8147","0.000","$29,889.70 / Unlimited","Pre-roll","470","$44,280.00",""
"","15521","Stealth Bird - CA - Desktop - 240126_06","Paused","10.500","37.9K","1K","2.7388","0.000","$193.36 / Unlimited","Pre-roll","2","$170.00",""
"","15520","Fuel Save Pro - US - Desktop - 240126_05","Paused","10.500","2.2M","67.7K","3.0383","0.000","$23,205.02 / Unlimited","Pre-roll","480","$29,760.00",""
"","15519","Fuel Save Pro - CA - Desktop - 240126_04","Paused","10.500","643K","19.9K","3.0976","0.000","$4,131.16 / Unlimited","Pre-roll","62","$3,844.00",""
"","15518","Nano Sight - US - Desktop - 240126_03","Paused","10.500","741.6K","23.2K","3.1259","0.000","$6,972.34 / Unlimited","Pre-roll","109","$6,540.00",""
"","15517","BatDefense - US - Android - 240126_01","Paused","4.000","808.5K","2.3K","0.284","0.000","$3,089.49 / Unlimited","Pre-roll","50","$2,750.00",""
"","15516","BatDefense - US - Desktop - 240126_02","Paused","10.500","1.8M","44.5K","2.5142","0.000","$17,830.32 / Unlimited","Pre-roll","372","$20,460.00",""
